Campaign Date,Campaign Name,Campaign Folder,Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Priority,Score,Latitude,Longitude
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,Al Arsh Althahabi Building Contracting LLC,+971 58 595 6883,,Business Bay - Dubai - United Arab Emirates,http://www.alarshllc.com/,Construction company,,5,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,Eureka Contracting LLC - Best Construction Company in Dubai,+971 58 688 0572,,"Tower II 1102, Sobha Ivory 1 - Marasi Dr - Business Bay - Dubai - United Arab Emirates",https://contractingcompany.ae/,Construction company,,3.8,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,CBMEC (Middle East) Contracting LLC,+971 4 557 7910,,3303 The Prism Tower - Business Bay - Dubai - United Arab Emirates,http://www.sinomaee.com/,Steel construction company,,5,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,Asha Contractor LLC,+971 4 570 7143,,The Binary by OMNIYAT - Office 512 - Marasi Dr - Business Bay - Dubai - United Arab Emirates,https://www.ashacontractor.com/,Construction company,,4.4,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,RP Group Corporate Office,+971 4 438 9580,,"W505, Al Sahaa Offices, Lobby C, Level 5,, Dowtown Burj Khalifa, Dubai - Dubai - United Arab Emirates",http://www.rpgroup.ae/,Construction company,,4.5,MEDIUM,55,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,Dhabi Contracting Est.- Dubai Office,+971 4 458 0092,,Al Asayel St - Business Bay - Dubai - United Arab Emirates,http://www.dhabicontracting.com/,Construction company,,3.8,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,RGCC BUILDING CONTRACTING L.L.C,+971 55 279 2403,,Aspect Tower - Office Suite# 1005 - Business Bay - Dubai - United Arab Emirates,https://www.rggroup.ae/rgcc-building-contracting-llc/,Construction company,,5,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,Techno Civil Engineering & Contracting,+971 4 244 6292,,The exchange Tower - Office No : 305 - Business Bay - Dubai - United Arab Emirates,http://www.technocivil.com/,Construction company,,4.5,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,Al Watan Construction Establishment,+971 4 770 4888,,Business Bay - Bay Square - Dubai - United Arab Emirates,http://www.alwatan.co.ae/,Construction company,,4.2,HIGH,70,,
2025-11-24T10:55:46.357Z,HR Outsourcing - Apify Campaign,campaign_2025-11-24T10-55-46,City Creek Construction LLC,+971 4 438 6096,,"Office 2302, Ontario Tower - Level 17 Al Amal St - Business Bay - Dubai - United Arab Emirates",http://ccc-uae.com/,Contractor,,4.3,HIGH,70,,
