Name,Phone,Address,Website,Category,Rating,Reviews,Priority,Score,Flags,Latitude,Longitude,Source Query
"Al Arsh Althahabi Building Contracting LLC","+971 58 595 6883","Business Bay - Dubai - United Arab Emirates","http://www.alarshllc.com/","Construction company",,5,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Eureka Contracting LLC - Best Construction Company in Dubai","+971 58 688 0572","Tower II 1102, Sobha Ivory 1 - Marasi Dr - Business Bay - Dubai - United Arab Emirates","https://contractingcompany.ae/","Construction company",,3.8,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"CBMEC (Middle East) Contracting LLC","+971 4 557 7910","3303 The Prism Tower - Business Bay - Dubai - United Arab Emirates","http://www.sinomaee.com/","Steel construction company",,5,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Asha Contractor LLC","+971 4 570 7143","The Binary by OMNIYAT - Office 512 - Marasi Dr - Business Bay - Dubai - United Arab Emirates","https://www.ashacontractor.com/","Construction company",,4.4,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"RP Group Corporate Office","+971 4 438 9580","W505, Al Sahaa Offices, Lobby C, Level 5,, Dowtown Burj Khalifa, Dubai - Dubai - United Arab Emirates","http://www.rpgroup.ae/","Construction company",,4.5,MEDIUM,55,"",,,"construction companies Business Bay Dubai"
"Dhabi Contracting Est.- Dubai Office","+971 4 458 0092","Al Asayel St - Business Bay - Dubai - United Arab Emirates","http://www.dhabicontracting.com/","Construction company",,3.8,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"RGCC BUILDING CONTRACTING L.L.C","+971 55 279 2403","Aspect Tower - Office Suite# 1005 - Business Bay - Dubai - United Arab Emirates","https://www.rggroup.ae/rgcc-building-contracting-llc/","Construction company",,5,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Techno Civil Engineering & Contracting","+971 4 244 6292","The exchange Tower - Office No : 305 - Business Bay - Dubai - United Arab Emirates","http://www.technocivil.com/","Construction company",,4.5,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Al Watan Construction Establishment","+971 4 770 4888","Business Bay - Bay Square - Dubai - United Arab Emirates","http://www.alwatan.co.ae/","Construction company",,4.2,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"City Creek Construction LLC","+971 4 438 6096","Office 2302, Ontario Tower - Level 17 Al Amal St - Business Bay - Dubai - United Arab Emirates","http://ccc-uae.com/","Contractor",,4.3,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Al Shamandi Construction Head Office","+971 4 263 8971","Office no. 3106 Al Manara Tower - Dubai - United Arab Emirates","http://www.alshamandigroup.com/","Construction company",,3.7,MEDIUM,55,"",,,"construction companies Business Bay Dubai"
"Evan Lim - Penta Construction Co. LLC","+971 4 422 7153","Business Bay - Dubai - United Arab Emirates","https://www.evanlimpenta.com/","Construction company",,4.3,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Gulf Asia Contracting LLC","+971 4 427 4449","Near Palace Hotel, Souk Al Bahar - Downtown Burj Khalifa - Office Block C, 401B - Al Sah - Dubai - United Arab Emirates","https://www.gactme.com/","Construction company",,4.3,MEDIUM,55,"",,,"construction companies Business Bay Dubai"
"H & I Contracting","+971 50 600 4080","Bay View Tower - Business Bay - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=H%20%26%20I%20Contracting&query_place_id=ChIJK3YzetlpXz4RPoAySSK_6S8","Construction company",,5,MEDIUM,55,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Vista Star Construction Co. LLC","+971 4 454 3006","International Business Tower - Al Amal Street - Office 910 - Dubai - United Arab Emirates","http://www.vista.ae/","Construction company",,3,MEDIUM,55,"",,,"construction companies Business Bay Dubai"
"Onyx General Contracting LLC | Best Construction Company in Dubai | Civil Contractors","+971 4 266 9095","Emarat Atrium Building - Office 431, Block B - Sheikh Zayed Rd - Al Wasl - Dubai - United Arab Emirates","https://onyxgc.ae/","Construction company",,4.8,MEDIUM,55,"",,,"construction companies Business Bay Dubai"
"RAD International Road Construction LLC","+971 4 454 1491","The Regal Tower - Office # 2209 - Business Bay - Dubai - United Arab Emirates","http://www.rad.ae/","Road construction company",,4.4,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Ginco General Contracting LLC","+971 4 320 6777","Marasi Dr - Business Bay - Dubai - United Arab Emirates","https://ginco.ae/","Contractor",,3.8,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"Zabeel Contracting Co LLC","+971 4 335 3750","The Metropolis Tower - Business Bay - Dubai - United Arab Emirates","http://www.zabcon.com/","Construction company",,4.4,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
"FSIME Construction LLC","+971 4 558 5075","Clover Bay Tower - Marasi Dr - Business Bay - Dubai - United Arab Emirates","http://www.fsime.com/","Construction company",,4.5,HIGH,70,"TARGET_LOCATION",,,"construction companies Business Bay Dubai"
