Name,Phone,Email,All Emails,Address,Website,Category,Rating,Reviews,Priority,Score,Flags,Latitude,Longitude,Source Query
"New Sinclair Property Management LLC.","+971 50 602 9669","","","Bldg, Bank Street Building - Office No - 406 Khalid Bin Al Waleed Rd - Al Mankhool - Dubai - United Arab Emirates","https://www.newsinclair.com/","Property management company",,3.9,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Ramzin Real Estate","+971 50 543 7719","","","785P+JF3 Business Point Building - 22b St - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.ramzinrealestate.com/","Real estate agency",,4.6,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"ZILA REAL ESTATE","+971 56 747 1414","","","NGI building – Office 403-60 - Dubai - United Arab Emirates","https://zila.ae/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"First and Top Real Estate","+971 4 326 5586","","","City Pharmacy Building - Floor 2 - Office 202 22A St - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.firstandtop.ae/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"ALIYAS Real Estate","+971 56 915 7576","","","Office 218, Business Village Block B - Dubai - United Arab Emirates","https://aliyasrealestate.ae/","Real estate developer",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Al Bafta Real Estate","+971 4 272 0771","","","31 شارع -٢٢- ب، - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Al%20Bafta%20Real%20Estate&query_place_id=ChIJPWQA4kxDXz4RuYKPX-VsONQ","Industrial real estate agency",,4.3,LOW,40,"",,,"real estate companies Deira Dubai"
"Nasser Lootah Real Estate","+971 4 221 8817","","","Nasser Lootah Building - Al Maktoum Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Nasser%20Lootah%20Real%20Estate&query_place_id=ChIJgzfbnsxcXz4Rpgm8UM7i9os","Real estate agency",,4.2,LOW,40,"",,,"real estate companies Deira Dubai"
"Abdulla Al Saffar Real Estate Brokers","+971 4 266 1167","","","Saheel 1 - Saheel Tower 1 , Level 17, 1708 - Al Ittihad Rd - Dubai - United Arab Emirates","http://aasrealestate.com/","Real estate consultant",,4.6,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"MOHAMMAD AL SHARIF REAL ESTATE","+971 4 299 2600","","","Office # 104, Latifa Building (Building no. 6 Near Latifa Mosque Frij - Al Murar - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=MOHAMMAD%20AL%20SHARIF%20REAL%20ESTATE&query_place_id=ChIJI12feaxDXz4RiIx2kbd0B6k","Real estate rental agency",,4.1,LOW,40,"",,,"real estate companies Deira Dubai"
"ELITE AGENTS PROPERTIES L.L.C","+971 4 320 6242","","","Concord hotel - Offices Tower - Office NO 202 Al Maktoum Rd - Riggat Al Buteen - Dubai - United Arab Emirates","http://www.eliteagentsae.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Fast and Easy Real Estate","+971 4 335 9997","","","59 18e Street - Naif - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Fast%20and%20Easy%20Real%20Estate&query_place_id=ChIJ066YqExDXz4RA24L-EOrBzc","Commercial real estate agency",,3,LOW,40,"",,,"real estate companies Deira Dubai"
"Mohammed Alhaj Real Estate","+971 55 803 2266","","","Deira, Business Village, Block - B, Office 622 - Dubai - United Arab Emirates","https://www.alhaj.ae/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Dar Al Waheedah Real Estate Brokerages LLC","+971 54 745 3585","","","Deira, Horizon Building - Office No 201-3 2nd Floor - Port Saeed - Deira - Dubai - United Arab Emirates","https://dardxb.com/en","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Falcon Premier Real Estate","+971 54 279 1796","","","Al Jawhara Building, Bank Street Building - 506 - Bur Dubai - Dubai - United Arab Emirates","https://www.falconpremier.ae/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"THIMAR AL MADINA REAL ESTATE LLC","+971 52 642 8006","","","Office 203, Al Zarooni - Al Rigga Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://thimar-re.com/","Real estate agent",,4.8,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Property Junction International Real Estate Broker LLC","+971 52 554 9435","","","B301, Metha Plaza Building - Oud Metha - Dubai - United Arab Emirates","https://www.propjunction.ae/","Real estate agency",,4.8,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Al Dallal Real Estate","+971 4 222 2115","","","22A St - Al Khabaisi - Deira - Dubai - United Arab Emirates","http://www.aldallaluae.com/","Real estate rental agency",,4.3,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"FMH Real Estate","+971 58 617 6622","","","Office No. 26G - Abu Hail - Deira - Dubai - United Arab Emirates","https://fmh-realestate.com/","Commercial real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Wael Madi Real Estate Brokerage","+971 52 435 0123","","","784G+WPP Office F-09 - Clock Tower Roundabout - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.waelmadirealestate.ae/","Real estate agent",,4.7,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Smart Folks Real Estate Brokers","+971 55 282 8039","","","16+ years real estate experience Victor Business centre Burjuman center - Bur Dubai - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Smart%20Folks%20Real%20Estate%20Brokers&query_place_id=ChIJ6Ql_ejNDXz4RWrfPZMn_BgI","Commercial real estate agency",,4.8,LOW,40,"",,,"real estate companies Deira Dubai"
"Growiieze Real Estate L.L.C","+971 58 595 4243","","","Al Ansari Building - 17 24A St - beside Eppco Gas Station - Abu Hail - Deira - Dubai - United Arab Emirates","https://growiieze.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Hengameh Abedi Real Estate Brokerage","+971 4 250 1693","","","Deira - Office No 1, Alawar Building - Port Saeed - Dubai - United Arab Emirates","https://www.harealestate.ae/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12366461645208813646","Real estate agency",,4.4,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Potential Real Estate Dubai","+971 4 298 1001","","","Office # 7,Al Mashoora Building,Al Muraqqabat Street - 22B St - Deira - Dubai - United Arab Emirates","http://www.potential-re.com/","Real estate agency",,3.8,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"SBK Real Estate","+971 4 337 4499","","","Kuwait Street - 8C St - Dubai - United Arab Emirates","https://www.sbkrealestate.com/","Property management company",,4.7,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Faateh Real Estate","+971 4 236 8880","","","304.Sultant Investment Building,port saeed - Deira - Dubai - United Arab Emirates","https://homeleez.com/","Real estate agency",,4.6,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Nasser Al Emadi Real Estate Brokers","+971 4 882 1226","","","Deira, Dutco House - Office 704 - 44 Al Ittihad Rd - Port Saeed - Deira - Dubai - United Arab Emirates","https://nasseralemadi.com/","Real estate agency",,4.8,MEDIUM,55,"",,,"real estate companies Deira Dubai"
"Sky Aims Real Estate LLC","+971 4 449 7234","","","Office 303, Dubai National Insurance Building - Port Saeed - Deira - Dubai - United Arab Emirates","https://skyaimsrealestate.com/","Real estate agency",,5,MEDIUM,55,"",,,"property management companies Deira Dubai"
"Creative Lines Real Estate","+971 58 130 1120","","","Saheel 2 - Office No 1402 - Al Nahda First - Al Nahda 1 - Dubai - United Arab Emirates","https://creativelines.ae/","Property management company",,4.7,MEDIUM,55,"",,,"property management companies Deira Dubai"
