Name,Phone,Email,Website,Priority,Quality Score,Data Source,Search Term,Timestamp
FITCO INDUSTRIES (LONDON) LTD.,04 222 1217,Not available,Not available,MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:25:39.499Z
Sunel Wala Building Materials Trading Co. LLC,04 238 5652,Not available,http://www.swbm-fittings.com/,HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:25:54.010Z
Dubai Packaging Industries,04 333 0444,Not available,Not available,MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:26:08.209Z
"Shuaiba Industrial Company ( Jafza ) Dubai , United Arab Emirates.",04 880 7301,Not available,https://www.sic-kwt.com/,HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:26:22.491Z
Alphatronic Machinery Trading Co. LLC.,04 338 9666,Not available,http://www.alphatronicmachinery.ae/,HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:26:36.936Z
Arwani Trading Company L.L.C,04 282 8223,leads@arwani.ae,http://www.arwani.ae/,URGENT,10,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:26:50.918Z
"Hitachi, Ltd., Middle East Branch",04 228 3617,Not available,http://www.hitachi.ae/eng/index.html,HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:27:04.909Z
Precision Plastic Products Company LLC,04 310 5777,Not available,https://www.pdtmc.com/,HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:27:19.031Z
Asmaco wholesale and Supplier Dubai UAE,054 276 9153,Not available,Not available,MEDIUM,7,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:27:33.195Z
CMS Manufacturing Company LLC,04 323 2433,Not available,http://www.cmsglobal.com/,HIGH,9,Google Maps Scraper,manufacturing companies Dubai,2025-10-15T08:27:47.412Z
